Fluid,COP,UA_ev,UA_cd,pinch_ev,pinch_cd
CYCLOPEN_BUTANE_mass_0.00_1.00,5.1271854002099335,460976.8631329016,492569.33126388316,5.007966881723178,5.050536082739541
CYCLOPEN_BUTANE_mass_0.05_0.95,5.311914286819375,460976.8631329016,492569.33126388316,5.74095815096473,6.17433539163585
CYCLOPEN_BUTANE_mass_0.10_0.90,5.44940833426323,460976.8631329016,492569.33126388316,5.719217589447737,7.255236947212154
CYCLOPEN_BUTANE_mass_0.15_0.85,5.543012100788358,460976.8631329016,492569.33126388316,4.358058621625901,8.260622979287803
CYCLOPEN_BUTANE_mass_0.20_0.80,5.6012452807603825,460976.8631329016,492569.33126388316,3.4132868969895753,9.018253328151957
CYCLOPEN_BUTANE_mass_0.25_0.75,5.635211686140519,460976.8631329016,492569.33126388316,2.7975110665570355,9.469656446099123
CYCLOPEN_BUTANE_mass_0.30_0.70,5.655605937765282,460976.8631329016,492569.33126388316,2.431815191480439,9.005943516498519
CYCLOPEN_BUTANE_mass_0.35_0.65,5.67070851176396,460976.8631329016,492569.33126388316,2.2544994892703016,8.184542784265886
CYCLOPEN_BUTANE_mass_0.40_0.60,5.685973124592143,460976.8631329016,492569.33126388316,2.2227892401280087,7.461224771847981
CYCLOPEN_BUTANE_mass_0.45_0.55,5.704545685135931,460976.8631329016,492569.33126388316,2.3096886082461765,6.834022557573235
CYCLOPEN_BUTANE_mass_0.50_0.50,5.728008541505891,460976.8631329016,492569.33126388316,2.499392941047006,6.305608784421565
CYCLOPEN_BUTANE_mass_0.55_0.45,5.7569347451535675,460976.8631329016,492569.33126388316,2.7834152898714137,5.884119694402386
CYCLOPEN_BUTANE_mass_0.60_0.40,5.791101681097996,460976.8631329016,492569.33126388316,3.1581207309830575,5.584933901795864
CYCLOPEN_BUTANE_mass_0.65_0.35,5.82936447360507,460976.8631329016,492569.33126388316,3.623526671489685,5.433913644632241
CYCLOPEN_BUTANE_mass_0.70_0.30,5.869174374365353,460976.8631329016,492569.33126388316,4.18295303255951,5.472803071218948
CYCLOPEN_BUTANE_mass_0.75_0.25,5.905676808292353,460976.8631329016,492569.33126388316,4.843110127389934,5.7673811979517495
CYCLOPEN_BUTANE_mass_0.80_0.20,5.930604195981091,460976.8631329016,492569.33126388316,5.614136371815334,6.417713711027318
CYCLOPEN_BUTANE_mass_0.85_0.15,5.931731354856597,460976.8631329016,492569.33126388316,6.508701005484227,7.293859648308626
CYCLOPEN_BUTANE_mass_0.90_0.10,5.894422821983608,460976.8631329016,492569.33126388316,7.538550240932409,6.355870939368401
CYCLOPEN_BUTANE_mass_0.95_0.05,5.8061843290173645,460976.8631329016,492569.33126388316,6.3813373733748335,5.514725739011169
CYCLOPEN_BUTANE_mass_1.00_0.00,5.662314459318953,460976.8631329016,492569.33126388316,4.988093913360615,4.815272425887031
CYCLOPEN_R1233ZDE_mass_0.00_1.00,5.303272244875795,460976.8631329016,492569.33126388316,5.000939420981069,5.009136452650409
CYCLOPEN_R1233ZDE_mass_0.05_0.95,5.417340860834459,460976.8631329016,492569.33126388316,5.359377479621116,5.522815362980452
CYCLOPEN_R1233ZDE_mass_0.10_0.90,5.5236607220217335,460976.8631329016,492569.33126388316,5.775327069551224,6.090487226888968
CYCLOPEN_R1233ZDE_mass_0.15_0.85,5.614126128366836,460976.8631329016,492569.33126388316,6.22280656866883,6.631422269703023
CYCLOPEN_R1233ZDE_mass_0.20_0.80,5.686514658260072,460976.8631329016,492569.33126388316,6.470804339679489,7.087515029907422
CYCLOPEN_R1233ZDE_mass_0.25_0.75,5.742510892485799,460976.8631329016,492569.33126388316,6.034702863561279,7.4292430282257556
CYCLOPEN_R1233ZDE_mass_0.30_0.70,5.7853207554112664,460976.8631329016,492569.33126388316,5.793520159929699,7.649089101110974
CYCLOPEN_R1233ZDE_mass_0.35_0.65,5.818071912545502,460976.8631329016,492569.33126388316,5.7104578402218635,7.752783180905169
CYCLOPEN_R1233ZDE_mass_0.40_0.60,5.843105076799248,460976.8631329016,492569.33126388316,5.751343288005273,7.752810397494045
CYCLOPEN_R1233ZDE_mass_0.45_0.55,5.861868716907166,460976.8631329016,492569.33126388316,5.888256506699349,7.6645365684067315
CYCLOPEN_R1233ZDE_mass_0.50_0.50,5.875059956647327,460976.8631329016,492569.33126388316,6.099592488212011,7.50413913279948
CYCLOPEN_R1233ZDE_mass_0.55_0.45,5.882825151841777,460976.8631329016,492569.33126388316,6.368969501612355,7.287551872037227
CYCLOPEN_R1233ZDE_mass_0.60_0.40,5.884951102972129,460976.8631329016,492569.33126388316,6.683975625964933,7.029904330449426
CYCLOPEN_R1233ZDE_mass_0.65_0.35,5.881029301024718,460976.8631329016,492569.33126388316,7.035081403144602,6.74516601148548
CYCLOPEN_R1233ZDE_mass_0.70_0.30,5.870597361835144,460976.8631329016,492569.33126388316,7.298369224482826,6.445856819669075
CYCLOPEN_R1233ZDE_mass_0.75_0.25,5.85325791517416,460976.8631329016,492569.33126388316,6.968894396003975,6.1427886441856
CYCLOPEN_R1233ZDE_mass_0.80_0.20,5.828768628603101,460976.8631329016,492569.33126388316,6.601841071132355,5.84487766706053
CYCLOPEN_R1233ZDE_mass_0.85_0.15,5.7971032129571824,460976.8631329016,492569.33126388316,6.208756982491707,5.559048536266516
CYCLOPEN_R1233ZDE_mass_0.90_0.10,5.758475982969163,460976.8631329016,492569.33126388316,5.801282732292293,5.290280606015472
CYCLOPEN_R1233ZDE_mass_0.95_0.05,5.713332470185241,460976.8631329016,492569.33126388316,5.390812602024766,5.041783410344351
CYCLOPEN_R1233ZDE_mass_1.00_0.00,5.662314459318953,460976.8631329016,492569.33126388316,4.988093913360615,4.815272425887031
CYCLOPEN_R1336MZZZ_mass_0.00_1.00,5.142284416549007,460976.8631329016,492569.33126388316,5.010057095244633,4.769273746445094
CYCLOPEN_R1336MZZZ_mass_0.05_0.95,5.213624248667539,460976.8631329016,492569.33126388316,5.072748358792126,4.878676549412376
CYCLOPEN_R1336MZZZ_mass_0.10_0.90,5.2851934532755696,460976.8631329016,492569.33126388316,5.170872446881276,5.032586104757172
CYCLOPEN_R1336MZZZ_mass_0.15_0.85,5.353477752270659,460976.8631329016,492569.33126388316,5.285380592410718,5.261445406855557
CYCLOPEN_R1336MZZZ_mass_0.20_0.80,5.415816631400144,460976.8631329016,492569.33126388316,5.400221214013413,5.440099088093291
CYCLOPEN_R1336MZZZ_mass_0.25_0.75,5.47023467872176,460976.8631329016,492569.33126388316,5.503929219964732,5.566579488412685
CYCLOPEN_R1336MZZZ_mass_0.30_0.70,5.516432757572913,460976.8631329016,492569.33126388316,5.589334449806131,5.644710433455941
CYCLOPEN_R1336MZZZ_mass_0.35_0.65,5.554947674940364,460976.8631329016,492569.33126388316,5.652722608199269,5.681153523610476
CYCLOPEN_R1336MZZZ_mass_0.40_0.60,5.586545170376105,460976.8631329016,492569.33126388316,5.692903795573443,5.683448851231049
CYCLOPEN_R1336MZZZ_mass_0.45_0.55,5.612084860568261,460976.8631329016,492569.33126388316,5.710386038528441,5.658762330151546
CYCLOPEN_R1336MZZZ_mass_0.50_0.50,5.632372245540171,460976.8631329016,492569.33126388316,5.706724639369895,5.6134371398403005
