Fluid,COP,UA_ev,UA_cd
CYCLOPEN_BUTANE_mass_0.00_1.00,5.134524291900708,461421.7712448697,495166.22118428466
CYCLOPEN_BUTANE_mass_0.05_0.95,5.578669361016587,504436.7045605699,557535.7105433353
CYCLOPEN_BUTANE_mass_0.10_0.90,5.884685294466727,498920.6755940111,635417.0672921943
CYCLOPEN_BUTANE_mass_0.15_0.85,5.918194546312023,425365.9615699929,733374.6795713258
CYCLOPEN_BUTANE_mass_0.20_0.80,5.929399515209528,385813.8400689,816820.9609272088
CYCLOPEN_BUTANE_mass_0.25_0.75,5.92060954429556,363283.82136928185,871347.6926400242
CYCLOPEN_BUTANE_mass_0.30_0.70,5.7997134742854275,351801.26241904363,793359.2810972278
CYCLOPEN_BUTANE_mass_0.35_0.65,5.678358008098745,347158.56696997205,706501.0374742261
CYCLOPEN_BUTANE_mass_0.40_0.60,5.598081337351099,347205.6051242333,645124.8264788965
CYCLOPEN_BUTANE_mass_0.45_0.55,5.553088131013788,351034.46456992265,599885.4776529443
CYCLOPEN_BUTANE_mass_0.50_0.50,5.54004010718757,358207.13708987524,566097.1099011299
CYCLOPEN_BUTANE_mass_0.55_0.45,5.557626671834259,368615.2774530454,541346.2451279415
CYCLOPEN_BUTANE_mass_0.60_0.40,5.6064384645693615,382436.85437071515,524590.0910692165
CYCLOPEN_BUTANE_mass_0.65_0.35,5.6891628652519355,400166.226478673,515891.9352791563
CYCLOPEN_BUTANE_mass_0.70_0.30,5.811149663732966,422732.0302298961,516619.049570226
CYCLOPEN_BUTANE_mass_0.75_0.25,5.981595064840226,451772.1250176907,530360.4263979124
CYCLOPEN_BUTANE_mass_0.80_0.20,6.215878255890045,490268.5977609094,565829.4468695623
CYCLOPEN_BUTANE_mass_0.85_0.15,6.505552170346408,544755.9676403208,630020.0412607078
CYCLOPEN_BUTANE_mass_0.90_0.10,6.4892417251108245,636922.0214521834,562405.7691046613
CYCLOPEN_BUTANE_mass_0.95_0.05,6.088652067133121,553470.164242239,516448.99369679694
CYCLOPEN_BUTANE_mass_1.00_0.00,5.6379918143262175,460311.6187031847,482980.67708431697
CYCLOPEN_R1233ZDE_mass_0.00_1.00,5.304529115440013,461029.3039820272,493040.73895895155
CYCLOPEN_R1233ZDE_mass_0.05_0.95,5.534919299152978,481656.84172693867,519701.9829178094
CYCLOPEN_R1233ZDE_mass_0.10_0.90,5.785638862694067,507199.601486748,551876.0096361407
CYCLOPEN_R1233ZDE_mass_0.15_0.85,6.035052845641833,537163.1274251087,585550.9300056675
CYCLOPEN_R1233ZDE_mass_0.20_0.80,6.216058949597143,548507.2938363818,617365.2243362125
