x_first_fluid,CYCLOPEN_BUTANE,CYCLOPEN_R1233ZDE,CYCLOPEN_R1336MZZZ,Isopentane_Isobutane,PENTANE_R1336MZZE,R1336MZZZ_R1336MZZE
0.0,425.12,439.6,444.5,407.81,403.53,403.53
0.05,428.74,446.03,451.87,410.68,410.6,405.58
0.1,432.43,451.96,458.37,413.5,416.88,407.63
0.15,436.17,457.43,464.14,416.3,422.48,409.68
0.2,439.99,462.5,469.3,419.07,427.51,411.72
0.25,443.87,467.21,473.95,421.81,432.06,413.77
0.3,447.82,471.6,478.15,424.54,436.19,415.82
0.35,451.84,475.69,481.97,427.25,439.95,417.87
0.4,455.94,479.53,485.46,429.94,443.4,419.92
0.45,460.12,483.13,488.65,432.61,446.57,421.97
0.5,464.37,486.51,491.59,435.27,449.49,424.01
0.55,468.7,489.69,494.3,437.9,452.19,426.06
0.6,473.12,492.7,496.81,440.51,454.7,428.11
0.65,477.62,495.53,499.14,443.1,457.03,430.16
0.7,482.2,498.22,501.31,445.67,459.21,432.21
0.75,486.88,500.76,503.34,448.2,461.24,434.26
0.8,491.65,503.18,505.23,450.7,463.15,436.31
0.85,496.52,505.47,507.0,453.17,464.93,438.35
0.9,501.48,507.66,508.67,455.6,466.62,440.4
0.95,506.55,509.74,510.24,457.99,468.2,442.45
1.0,511.72,511.72,511.72,460.35,469.7,444.5
