x_first_fluid,fluid,T_turbine_inlet,eta_refprop,eta_tabular,eta_dev_pct,P_net_refprop_kW,P_net_tabular_kW,P_dev_pct,max_h_dev_pct,max_T_dev_K,t_solve_refprop,t_solve_tabular,status
0.0,R1336MZZZ,150.0,0.17716629155722463,0.17717106193643453,0.002692599798737631,254.71573002878893,254.69805358059443,0.006939676710384168,0.0029571307315605973,0.01373034561595432,0.03243092799675651,0.03446158599399496,ok
0.05,CYCLOPEN[0.05]&R1336MZZZ[0.95]|mass,150.0,0.17975089382621073,0.17975023052835912,0.0003690094872394009,242.7220345957597,242.72368063167798,0.0006781567734513907,0.0002964173409811053,0.0014010965123816277,0.0617587800079491,0.03411928300920408,ok
0.1,CYCLOPEN[0.10]&R1336MZZZ[0.90]|mass,150.0,0.18187489243639787,0.18187527499755593,0.0002103430291740044,234.41780212373277,234.41668641939603,0.0004759469317742181,0.0001830695142110834,0.0008760448701536916,0.07221369098988362,0.03341345400258433,ok
0.15,CYCLOPEN[0.15]&R1336MZZZ[0.85]|mass,150.0,0.18362884626446851,0.18362878421844836,3.3788819903418544e-05,228.4716036199307,228.47166802080457,2.818769284546676e-05,3.2269694062035654e-05,7.678539674316198e-05,0.06047485700401012,0.031817011011298746,ok
0.2,CYCLOPEN[0.20]&R1336MZZZ[0.80]|mass,150.0,0.18507953735442104,0.1850795266424637,5.787758874934893e-06,223.99471447228325,223.99470427256722,4.5535521023482364e-06,7.234971637606623e-06,2.115335928465356e-05,0.06078230201092083,0.03707455100084189,ok
0.25,CYCLOPEN[0.25]&R1336MZZZ[0.75]|mass,150.0,0.18628387735186333,0.18628396531755348,4.722131158056643e-05,220.42860987617868,220.42845521031344,7.016596680693704e-05,4.5457267862469864e-05,0.00013744277714522468,0.06793194499914534,0.0347347260103561,ok
0.3,CYCLOPEN[0.30]&R1336MZZZ[0.70]|mass,150.0,0.18729136200543126,0.18729137262532064,5.6702504967888085e-06,217.43290482542596,217.4328856854892,8.802686411842564e-06,5.881037745318221e-06,1.6622038060631894e-05,0.06167098000878468,0.05518157599726692,ok
0.35,CYCLOPEN[0.35]&R1336MZZZ[0.65]|mass,150.0,0.18814329633977495,0.18814333145226095,1.866262932837362e-05,214.80151541142104,214.80148812461985,1.270326288552319e-05,1.7353082105104103e-05,3.5420026847532426e-05,0.06260801399184857,0.0362204700068105,ok
0.4,CYCLOPEN[0.40]&R1336MZZZ[0.60]|mass,150.0,0.18887281242145498,0.18887282670397146,7.561975856636893e-06,212.4088331863306,212.40881560538554,8.276936889021558e-06,1.2060672174872894e-05,1.7615762033074134e-05,0.0644327939953655,0.03351431500050239,ok
0.45,CYCLOPEN[0.45]&R1336MZZZ[0.55]|mass,150.0,0.18950583596853374,0.18950585960345892,1.2471871941490472e-05,210.17741092140463,210.17739326858745,8.399007819353987e-06,1.7388857315596956e-05,2.2888262151354866e-05,0.06172122999851126,0.03670975301065482,ok
